,Index,Organism,Species,Type (Viral),Enveloped (Viral),Strain,Medium,Medium (specific),wavelength [nm],Light source,k1 [cm2/mJ],k2 [cm2/mJ],% resistant,Log-reduction dose [mJ/cm2],,k1 error,k2 error,Ref,Full Citation
,278,Virus,Influenza virus,ssRNA-,Yes,Melbourne,Liquid,PBS,230,250 watt (Uviarc type UA-2) mercury vapor lamp,0.05,,,43.48,,,,84,"Powell WF, Setlow RB. The effect of monochromatic ultraviolet radiation on the interfering property of influenza virus. Virology.1956;2:337-43. DOI: 10.1016/0042-6822(56)90028-9"
,136,Bacteria,Staphylococcus aureus,,,MRSA USA300,Surface,naked mouse skin,254,,0.01,,,194.81,,,,64,"Ponnaiya B, Buonanno M, Welch D, Shuryak I, Randers-PehrsonG, BrennerDJ. Far-UVC light prevents MRSA infection of superficial wounds in vivo. PLoS One. 2018;13(2):e0192053.DOI: 10.1371/journal.pone.0192053"
,349,Virus,Phage QB,ssRNA+,No,ATCC 23631-B1,Liquid,-,290,Tunable Laser,0.07,,,32.7,,8.9 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,137,Bacteria,Staphylococcus aureus,,,MRSA834,Surface,mouse wound,222,,0.03,,,75.76,,,,17,"Narita K, Asano K, Morimoto Y, Igarashi T, Hamblin MR, Dai T, Nakane A. Disinfection and healing effects of 222-nm UVC light on methicillin-resistant Staphylococcus aureus infectionin mouse wounds.J Photochem Photobiol B. 2018 Jan;178:10-18. DOI:10.1016/j.jphotobiol.2017.10.03"
,275,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,290,Tunable Laser,0.07,,,31.68,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
"Hessling reports this as 225, but I infer that this is a mistake",138,Bacteria,Staphylococcus aureus,,,-,Surface,-,254,,0.77,,,3,,,,56,Gates FL. A study of the bactericidala ctionof ultra violet light: III. the absorption of ultra violet light by bacteria. J Gen Physiol.1930 Sep;14(1):31-42. DOI: 10.1085/jgp.14.1.31
,139,Bacteria,Streptococcus pyogenes,,,NCIMB 8884,Liquid,Ringer,222,,0.11,,,20.91,,,,45,"Matafonova GG, Batoev VB, Astakhova SA, Gómez M, Christofi N. Efficiency of KrCl excilamp (222nm) for inactivation of bacteria in suspension. Lett Appl Microbiol. 2008 Dec;47(6):508-13.DOI:10.1111/j.1472-765X.2008.02461.x"
,140,Bacteria,Streptomyces griseus conidia,,,-,Surface,vacuum,200,,0.04,,,56.18,,,,27,"Jagger J, Stafford RS, Mackin RJ Jr. Killing and photoreactivationof Streptomyces griseus conidia by vacuum-ultraviolet and far-ultraviolet radiation (1500 to 2700 A). RadiatRes. 1967 Sep;32(1):64-92"
,141,Bacteria,Streptomyces griseus conidia,,,-,Surface,vacuum,230,,0.02,,,106.9,,,,27,"Jagger J, Stafford RS, Mackin RJ Jr. Killing and photoreactivationof Streptomyces griseus conidia by vacuum-ultraviolet and far-ultraviolet radiation (1500 to 2700 A). RadiatRes. 1967 Sep;32(1):64-92"
,142,Bacteria,Yersinia enterocolytica,,,ATCC4780,Liquid,-,222,,1.05,,,2.2,,,,51,"Clauss M, Mannesmann R, Kolch A. Photoreactivation of Escherichia coli and Yersinia enterolytica after Irradiation with a 222 nm Excimer Lamp Compared to a 254 nm Low-pressure Mercury Lamp. Acta Hydrochim Hydrobiol. 2005;33:579-84.DOI:10.1002/aheh.20040060"
,143,Bacteria,Yersinia enterocolytica,,,ATCC4780,Liquid,-,254,,1.56,,,1.48,,,,51,"Clauss M, Mannesmann R, Kolch A. Photoreactivation of Escherichia coli and Yersinia enterolytica after Irradiation with a 222 nm Excimer Lamp Compared to a 254 nm Low-pressure Mercury Lamp. Acta Hydrochim Hydrobiol. 2005;33:579-84.DOI:10.1002/aheh.20040060"
,144,Bacterial spores,Alicyclobacillus acidoterrestris spores,,,ATCC49025,Liquid,PBS,222,,0.38,,,6.02,,,,68,"Kang JW, Hong HN, Kang DH. Application of a Krypton-Chlorine Excilamp To Control Spores in Apple Juice and Identification of Its Sporicidal Mechanism. Appl Environ Microbiol. 202005;86(11). DOI: 10.1128/AEM.00159-20"
,145,Bacterial spores,Alicyclobacillus acidoterrestris spores,,,ATCC49025,Liquid,apple juice,222,,0.01,,,157.23,,,,68,"Kang JW, Hong HN, Kang DH. Application of a Krypton-Chlorine Excilamp To Control Spores in Apple Juice and Identification of Its Sporicidal Mechanism. Appl Environ Microbiol. 202005;86(11). DOI: 10.1128/AEM.00159-20"
,146,Bacterial spores,Alicyclobacillus acidoterrestris spores,,,ATCC49025,Liquid,PBS,254,,0.27,,,8.5,,,,68,"Kang JW, Hong HN, Kang DH. Application of a Krypton-Chlorine Excilamp To Control Spores in Apple Juice and Identification of Its Sporicidal Mechanism. Appl Environ Microbiol. 202005;86(11). DOI: 10.1128/AEM.00159-20"
,147,Bacterial spores,Alicyclobacillus acidoterrestris spores,,,ATCC49025,Liquid,apple juice,254,,0.01,,,165.02,,,,68,"Kang JW, Hong HN, Kang DH. Application of a Krypton-Chlorine Excilamp To Control Spores in Apple Juice and Identification of Its Sporicidal Mechanism. Appl Environ Microbiol. 202005;86(11). DOI: 10.1128/AEM.00159-20"
,148,Bacterial spores,Bacillus ceraus spores,,,DSM345,Liquid,-,222,,0.10,,,22.12,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,149,Bacterial spores,Bacillus ceraus spores,,,-,Liquid,PBS,222,,0.17,,,13.64,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,267,Virus,Adenovirus,dsDNA,No,ATCCVR846,Liquid,CBS,254,,0.07,,,31.25,,,,82,"Vazquez-Bravo B, GonçalvesK, ShislerJL, MariñasBJ. Adenovirus Replication Cycle Disruption from Exposureto Polychromatic Ultraviolet Irradiation. Environ Sci Technol.201803;52(6):3652-9. DOI: 10.1021/acs.est.7b06082"
,150,Bacterial spores,Bacillus ceraus spores,,,ATCC11778,Liquid,-,222,,0.10,,,23,,,,43,"Clauss M. Higher effectiveness of photoinactivation of bacterial spores, UV resistant vegetative bacteria and mold spores with 222 nm compared to 254 nm wavelength. Acta Hydrochim Hydrobiol. 2006;34:525-32.DOI: 10.1002/aheh.20060065"
,151,Bacterial spores,Bacillus ceraus spores,,,T6A1,Liquid,PBS,222,,1.95,,,1.18,,,,46,"Taylor W, Camilleri E, Craft DL, Korza G, Granados MR, Peterson J, Szczpaniak R, Weller SK, Moeller R, Douki T, Mok WWK,Setlow P.DNA Damage Kills Bacterial Spores and Cells Exposed to222-Nanometer UV Radiation. Appl Environ Microbiol. 202004;86(8).DOI: 10.1128/AEM.03039-19"
,152,Bacterial spores,Bacillus ceraus spores,,,DSM345,Liquid,-,254,,0.05,,,46.42,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,153,Bacterial spores,Bacillus ceraus spores,,,-,Liquid,PBS,222,,0.08,,,28.8,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,154,Bacterial spores,Bacillus ceraus spores,,,ATCC11778,Liquid,-,222,,0.05,,,46.67,,,,43,"Clauss M. Higher effectiveness of photoinactivation of bacterial spores, UV resistant vegetative bacteria and mold spores with 222 nm compared to 254 nm wavelength. Acta Hydrochim Hydrobiol. 2006;34:525-32.DOI: 10.1002/aheh.20060065"
,155,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,210,,0.29,,,8,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,156,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,220,,0.12,,,18.79,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,157,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,258,,0.04,,,64,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,158,Bacterial spores,Bacillus pumilus spores,,,SAFR -032,Surface,aluminum,222,,0.27,,,8.53,,,,42,"Seuylemezian A, Buonanno M, Guan L, Brenner DJ, Welch D. Far-UVC light as a new tool to reduce microbial burden during spacecraft assembly. Adv SpaceRes. 2020.DOI:10.1016/j.asr.2020.08.037"
,159,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,200,,0.16,,,13.96,,,,70,"Cabaj A, Sommer R, Pribil W, Haider T. The spectral UV sensitivity of microorganisms used in biodosimetry. Water Supply.2002;2:175-81. DOI: 10.2166/ws.2002.0100"
,160,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,214,,0.31,,,7.52,,,,71,"Mamane-Gravetz H, LindenKG, CabajA, SommerR. Spectral sensitivity of Bacillus subtilis spores and MS2 coli phage for validation testing of ultraviolet reactors for water disinfection. Environ Sci Technol.2005 Oct; 39(20):7845-52.DOI:10.1021/es048446t"
,161,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,214,,0.14,,,16.05,,,,70,"Cabaj A, Sommer R, Pribil W, Haider T. The spectral UV sensitivity of microorganisms used in biodosimetry. Water Supply.2002;2:175-81. DOI: 10.2166/ws.2002.0100"
,162,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,water,222,,0.37,,,6.16,,,,26,"Chen RZ, Craik SA, Bolton JR. Comparison of the action spectra and relative DNA absorbance spectra of microorganisms: information important for the determinationof germicidal fluence (UV dose) in an ultraviolet disinfectionofwater. WaterRes.2009 Dec;43(20):5087-96. DOI: 10.1016/j.watres. 2009.08.03"
,163,Bacterial spores,Bacillus subtilis spores,,,DSM10,Liquid,-,222,,0.18,,,12.46,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,164,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,222,,0.46,,,5.01,,,,72,"Pennell KG, Naunovic Z, Blatchley ER. Sequential Inactivation of Bacillus Subtilis Spores with Ultraviolet Radiation and Iodine. J.Environ. Eng. 2008;134:513-20. DOI: 10.1061/(ASCE)0733-9372(2008)134:7(513)"
,165,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,222,,0.21,,,10.8,,,,73,"Wang D, Oppenländer T, El-DinMG, Bolton JR. Comparison of the disinfection effects of vacuum-UV(VUV) and UV light on Bacillus subtilis spores in aqueous suspensions at 172, 222 and 254 nm. PhotochemPhotobiol. 2010 Jan-Feb;86(1):176-81.DOI: 10.1111/j.1751-1097.2009.00640.x"
,166,Bacterial spores,Bacillus subtilis spores,,,PS533,Liquid,PBS,222,,0.36,,,6.34,,,,46,"Taylor W, Camilleri E, Craft DL, Korza G, Granados MR, Peterson J, Szczpaniak R, Weller SK, Moeller R, Douki T, Mok WWK,Setlow P.DNA Damage Kills Bacterial Spores and Cells Exposed to222-Nanometer UV Radiation. Appl Environ Microbiol. 202004;86(8).DOI: 10.1128/AEM.03039-19"
,167,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,230,,0.21,,,10.75,,,,71,"Mamane-Gravetz H, LindenKG, CabajA, SommerR. Spectral sensitivity of Bacillus subtilis spores and MS2 coli phage for validation testing of ultraviolet reactors for water disinfection. Environ Sci Technol.2005 Oct; 39(20):7845-52.DOI:10.1021/es048446t"
,168,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,230,,0.10,,,23.33,,,,70,"Cabaj A, Sommer R, Pribil W, Haider T. The spectral UV sensitivity of microorganisms used in biodosimetry. Water Supply.2002;2:175-81. DOI: 10.2166/ws.2002.0100"
,169,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,water,232,,0.27,,,8.63,,,,26,"Chen RZ, Craik SA, Bolton JR. Comparison of the action spectra and relative DNA absorbance spectra of microorganisms: information important for the determinationof germicidal fluence (UV dose) in an ultraviolet disinfectionofwater. WaterRes.2009 Dec;43(20):5087-96. DOI: 10.1016/j.watres. 2009.08.03"
,170,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,254,,0.25,,,9.32,,,,71,"Mamane-Gravetz H, LindenKG, CabajA, SommerR. Spectral sensitivity of Bacillus subtilis spores and MS2 coli phage for validation testing of ultraviolet reactors for water disinfection. Environ Sci Technol.2005 Oct; 39(20):7845-52.DOI:10.1021/es048446t"
,171,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,254,,0.14,,,16.33,,,,70,"Cabaj A, Sommer R, Pribil W, Haider T. The spectral UV sensitivity of microorganisms used in biodosimetry. Water Supply.2002;2:175-81. DOI: 10.2166/ws.2002.0100"
,172,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,water,254,,0.16,,,14.37,,,,26,"Chen RZ, Craik SA, Bolton JR. Comparison of the action spectra and relative DNA absorbance spectra of microorganisms: information important for the determinationof germicidal fluence (UV dose) in an ultraviolet disinfectionofwater. WaterRes.2009 Dec;43(20):5087-96. DOI: 10.1016/j.watres. 2009.08.03"
,277,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,280,Tunable Laser,0.08,,,29.9,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,173,Bacterial spores,Bacillus subtilis spores,,,DSM10,Liquid,-,254,,0.11,,,20.56,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,233,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,240,Tunable Laser,0.08,,,29.4,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,235,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,240,Tunable Laser,0.08,,,27.89,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,174,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,254,,0.25,,,9.25,,,,72,"Pennell KG, Naunovic Z, Blatchley ER. Sequential Inactivation of Bacillus Subtilis Spores with Ultraviolet Radiation and Iodine. J.Environ. Eng. 2008;134:513-20. DOI: 10.1061/(ASCE)0733-9372(2008)134:7(513)"
,265,Virus,Adenovirus,dsDNA,No,ATCCVR846,Liquid,PBS,254,,0.09,,,26.55,,,,80,"Linden KG, Thurston J, Schaefer R, Malley JP Jr. Enhanced UV inactivation of adenoviruses under polychromatic UV lamps.A pplEnviron Microbiol. 2007 Dec;73(23):7571-4. DOI:10.1128/AEM.01587-0781."
,175,Bacterial spores,Bacillus subtilis spores,,,ATCC6633,Liquid,-,254,,0.11,,,20.2,,,,73,"Wang D, Oppenländer T, El-DinMG, Bolton JR. Comparison of the disinfection effects of vacuum-UV(VUV) and UV light on Bacillus subtilis spores in aqueous suspensions at 172, 222 and 254 nm. PhotochemPhotobiol. 2010 Jan-Feb;86(1):176-81.DOI: 10.1111/j.1751-1097.2009.00640.x"
,127,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,240,Tunable Laser,0.09,,,26.37,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,176,Bacterial spores,Bacillus subtilis spores,,,PS533,Liquid,PBS,254,,0.27,,,8.65,,,,46,"Taylor W, Camilleri E, Craft DL, Korza G, Granados MR, Peterson J, Szczpaniak R, Weller SK, Moeller R, Douki T, Mok WWK,Setlow P.DNA Damage Kills Bacterial Spores and Cells Exposed to222-Nanometer UV Radiation. Appl Environ Microbiol. 202004;86(8).DOI: 10.1128/AEM.03039-19"
,177,Bacterial spores,Bacillus subtilis spores,,,UVR,Surface,vacuum,200,,0.27,,,8.57,,,,74,"Munakata N, Hieda K, Kobayashi K, Ito A, Ito T. Action spectra in ultraviolet wavelengths(150-250nm) for inactivation and mutagenesis of Bacillus subtilis spores obtained with synchrotron radiation. PhotochemPhotobiol. 1986 Sep;44(3):385-90.DOI:10.1111/j.1751-1097.1986.tb04680.x75."
,178,Bacterial spores,Bacillus subtilis spores,,,UVS,Surface,vacuum,200,,0.67,,,3.44,,,,74,"Munakata N, Hieda K, Kobayashi K, Ito A, Ito T. Action spectra in ultraviolet wavelengths(150-250nm) for inactivation and mutagenesis of Bacillus subtilis spores obtained with synchrotron radiation. PhotochemPhotobiol. 1986 Sep;44(3):385-90.DOI:10.1111/j.1751-1097.1986.tb04680.x75."
,179,Bacterial spores,Bacillus subtilis spores,,,UVP,Surface,vacuum,200,,0.72,,,3.2,,,,74,"Munakata N, Hieda K, Kobayashi K, Ito A, Ito T. Action spectra in ultraviolet wavelengths(150-250nm) for inactivation and mutagenesis of Bacillus subtilis spores obtained with synchrotron radiation. PhotochemPhotobiol. 1986 Sep;44(3):385-90.DOI:10.1111/j.1751-1097.1986.tb04680.x75."
,180,Bacterial spores,Bacillus subtilis spores,,,168,Surface,-,200,,0.02,,,107.7,,,,75,"Lindberg C, Horneck G. Action spectra for survival and spore photoproduct formation of Bacillus subtilis irradiated with short-wavelength (200-300 nm) UV at atmospheric pressureand in vacuo. Journal of Photochemistry and Photobiology B: Biology. 1991;11:69-80.doi:10.1016/1011-1344(91) 80269-N76.Biology.1991;11:69-80."
,181,Bacterial spores,Bacillus subtilis spores,,,168,Surface,vacuum,200,,0.23,,,9.8,,,,75,"Lindberg C, Horneck G. Action spectra for survival and spore photoproduct formation of Bacillus subtilis irradiated with short-wavelength (200-300 nm) UV at atmospheric pressureand in vacuo. Journal of Photochemistry and Photobiology B: Biology. 1991;11:69-80.doi:10.1016/1011-1344(91) 80269-N76.Biology.1991;11:69-80."
,182,Bacterial spores,Bacillus subtilis spores,,,UVR,Surface,vacuum,220,,0.58,,,4,,,,74,"Munakata N, Hieda K, Kobayashi K, Ito A, Ito T. Action spectra in ultraviolet wavelengths(150-250nm) for inactivation and mutagenesis of Bacillus subtilis spores obtained with synchrotron radiation. PhotochemPhotobiol. 1986 Sep;44(3):385-90.DOI:10.1111/j.1751-1097.1986.tb04680.x75."
,183,Bacterial spores,Bacillus subtilis spores,,,UVS,Surface,vacuum,220,,6.98,,,0.33,,,,74,"Munakata N, Hieda K, Kobayashi K, Ito A, Ito T. Action spectra in ultraviolet wavelengths(150-250nm) for inactivation and mutagenesis of Bacillus subtilis spores obtained with synchrotron radiation. PhotochemPhotobiol. 1986 Sep;44(3):385-90.DOI:10.1111/j.1751-1097.1986.tb04680.x75."
,184,Bacterial spores,Bacillus subtilis spores,,,UVP,Surface,vacuum,220,,7.68,,,0.3,,,,74,"Munakata N, Hieda K, Kobayashi K, Ito A, Ito T. Action spectra in ultraviolet wavelengths(150-250nm) for inactivation and mutagenesis of Bacillus subtilis spores obtained with synchrotron radiation. PhotochemPhotobiol. 1986 Sep;44(3):385-90.DOI:10.1111/j.1751-1097.1986.tb04680.x75."
,185,Bacterial spores,Bacillus subtilis spores,,,UVS,Surface,vacuum,220,,4.61,,,0.5,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,186,Bacterial spores,Bacillus subtilis spores,,,UVP,Surface,vacuum,220,,5.90,,,0.39,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,187,Bacterial spores,Bacillus subtilis spores,,,UVR,Surface,vacuum,220,,0.44,,,5.18,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,188,Bacterial spores,Bacillus subtilis spores,,,RCE,Surface,vacuum,220,,3.97,,,0.58,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,189,Bacterial spores,Bacillus subtilis spores,,,RCF,Surface,vacuum,220,,1.92,,,1.2,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,190,Bacterial spores,Bacillus subtilis spores,,,168,Surface,-,220,,0.04,,,52.94,,,,75,"Lindberg C, Horneck G. Action spectra for survival and spore photoproduct formation of Bacillus subtilis irradiated with short-wavelength (200-300 nm) UV at atmospheric pressureand in vacuo. Journal of Photochemistry and Photobiology B: Biology. 1991;11:69-80.doi:10.1016/1011-1344(91) 80269-N76.Biology.1991;11:69-80."
,191,Bacterial spores,Bacillus subtilis spores,,,168,Surface,vacuum,220,,0.38,,,6.02,,,,75,"Lindberg C, Horneck G. Action spectra for survival and spore photoproduct formation of Bacillus subtilis irradiated with short-wavelength (200-300 nm) UV at atmospheric pressureand in vacuo. Journal of Photochemistry and Photobiology B: Biology. 1991;11:69-80.doi:10.1016/1011-1344(91) 80269-N76.Biology.1991;11:69-80."
,192,Bacterial spores,Bacillus subtilis spores,,,UVS,Surface,vacuum,235,,19.19,,,0.12,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,193,Bacterial spores,Bacillus subtilis spores,,,UVP,Surface,vacuum,235,,6.98,,,0.33,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,194,Bacterial spores,Bacillus subtilis spores,,,UVR,Surface,vacuum,235,,0.47,,,4.91,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,195,Bacterial spores,Bacillus subtilis spores,,,RCE,Surface,vacuum,235,,2.77,,,0.83,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,196,Bacterial spores,Bacillus subtilis spores,,,RCF,Surface,vacuum,235,,1.21,,,1.9,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
,197,Bacterial spores,Bacillus subtilis spores,,,UVR,Surface,vacuum,220,,0.50,,,4.65,,,,74,"Munakata N, Hieda K, Kobayashi K, Ito A, Ito T. Action spectra in ultraviolet wavelengths(150-250nm) for inactivation and mutagenesis of Bacillus subtilis spores obtained with synchrotron radiation. PhotochemPhotobiol. 1986 Sep;44(3):385-90.DOI:10.1111/j.1751-1097.1986.tb04680.x75."
,198,Bacterial spores,Bacillus subtilis spores,,,UVS,Surface,vacuum,220,,5.48,,,0.42,,,,74,"Munakata N, Hieda K, Kobayashi K, Ito A, Ito T. Action spectra in ultraviolet wavelengths(150-250nm) for inactivation and mutagenesis of Bacillus subtilis spores obtained with synchrotron radiation. PhotochemPhotobiol. 1986 Sep;44(3):385-90.DOI:10.1111/j.1751-1097.1986.tb04680.x75."
,199,Bacterial spores,Bacillus subtilis spores,,,UVP,Surface,vacuum,220,,12.12,,,0.19,,,,74,"Munakata N, Hieda K, Kobayashi K, Ito A, Ito T. Action spectra in ultraviolet wavelengths(150-250nm) for inactivation and mutagenesis of Bacillus subtilis spores obtained with synchrotron radiation. PhotochemPhotobiol. 1986 Sep;44(3):385-90.DOI:10.1111/j.1751-1097.1986.tb04680.x75."
,200,Bacterial spores,Bacillus subtilis spores,,,UVS,Surface,vacuum,220,,4.26,,,0.54,,,,28,"Munakata N, Saito M, Hieda K. Inactivation action spectra of Bacillus subtilis spores in extended ultraviolet wavelengths (50-300 nm) obtained with synchrotron radiation. Photochem Photobiol. 1991 Nov;54(5):761-8. DOI: 10.1111/j.1751-1097.1991.tb02087.x"
